Weights File,Model Name,Dataset,Quantization Batch Size,Original Top1 Accuracy,Quantized Top1 Accuracy,Original Top5 Accuracy,Quantized Top5 Accuracy,Bits,MLP_Alphabet_Scalar,CNN_Alphabet_Scalar,MLP_Percentile,CNN_Percentile,Stochastic Quantization,Regularizer,Lambda,Original Sparsity,Quantized Sparsity,Retain_rate,Fusion,Seed
resnet18_lr_0.01.pth,resnet18,CIFAR10,256,0.7587,0.7559,0.9835,0.9828,4,1.16,1.16,1,1,False,,0.1,0.0,0.7979,0.25,False,0
resnet18_lr_0.001.pth,resnet18,CIFAR10,256,0.7856,0.7852,0.9864,0.9863,4,1.16,1.16,1,1,False,,0.1,0.0,0.7703,0.25,False,0
resnet18_lr_0.0001.pth,resnet18,CIFAR10,256,0.6844,0.6411,0.976,0.9711,4,1.16,1.16,1,1,False,,0.1,0.0,0.768,0.25,False,0
resnet18_lr_0.01.pth,resnet18,CIFAR10,256,0.7587,0.7421,0.9835,0.9818,3,1.16,1.16,1,1,False,,0.1,0.0,0.841,0.25,False,0
resnet18_lr_0.001.pth,resnet18,CIFAR10,256,0.7856,0.7823,0.9864,0.9875,3,1.16,1.16,1,1,False,,0.1,0.0,0.815,0.25,False,0
resnet18_lr_0.0001.pth,resnet18,CIFAR10,256,0.6844,0.591,0.976,0.9594,3,1.16,1.16,1,1,False,,0.1,0.0,0.8208,0.25,False,0
resnet18_lr_0.01.pth,resnet18,CIFAR10,256,0.7587,0.7183,0.9835,0.9787,2,1.16,1.16,1,1,False,,0.1,0.0,0.8798,0.25,False,0
resnet18_lr_0.001.pth,resnet18,CIFAR10,256,0.7856,0.7565,0.9864,0.9836,2,1.16,1.16,1,1,False,,0.1,0.0,0.8724,0.25,False,0
resnet18_lr_0.0001.pth,resnet18,CIFAR10,256,0.6844,0.4277,0.976,0.914,2,1.16,1.16,1,1,False,,0.1,0.0,0.8932,0.25,False,0
resnet34_lr_0.01.pth,resnet34,CIFAR10,256,0.7499,0.7005,0.9846,0.9753,2,1.16,1.16,1,1,False,,0.1,0.0,0.8891,0.25,False,0
resnet34_lr_0.001.pth,resnet34,CIFAR10,256,0.7762,0.7403,0.986,0.9819,2,1.16,1.16,1,1,False,,0.1,0.0,0.86,0.25,False,0
resnet34_lr_0.0001.pth,resnet34,CIFAR10,256,0.6667,0.419,0.9728,0.8997,2,1.16,1.16,1,1,False,,0.1,0.0,0.8719,0.25,False,0
resnet34_lr_0.01.pth,resnet34,CIFAR10,256,0.7499,0.7271,0.9846,0.9824,3,1.16,1.16,1,1,False,,0.1,0.0,0.8551,0.25,False,0
resnet34_lr_0.001.pth,resnet34,CIFAR10,256,0.7762,0.7663,0.986,0.9849,3,1.16,1.16,1,1,False,,0.1,0.0,0.8098,0.25,False,0
resnet34_lr_0.0001.pth,resnet34,CIFAR10,256,0.6667,0.5593,0.9728,0.9492,3,1.16,1.16,1,1,False,,0.1,0.0,0.8058,0.25,False,0
resnet34_lr_0.01.pth,resnet34,CIFAR10,256,0.7499,0.7331,0.9846,0.9824,4,1.16,1.16,1,1,False,,0.1,0.0,0.8113,0.25,False,0
